Date,Price,Open,High,Low,Volume,Chg%
"Oct 07, 2015","26,449","26,555","26,675","26,320",18.41K,-0.24%
"Oct 06, 2015","26,512","26,300","26,621","26,272",16.74K,1.60%
"Oct 05, 2015","26,094","26,159","26,263","25,960",1.35K,1.21%
"Oct 01, 2015","25,782","25,780","25,863","25,680",6.12K,-0.08%
"Sep 30, 2015","25,803","26,211","26,371","25,737",22.29K,-1.71%
"Sep 29, 2015","26,253","26,574","26,590","26,228",18.83K,-0.96%
"Sep 28, 2015","26,508","26,746","26,746","26,361",16.51K,-0.88%
"Sep 25, 2015","26,744","26,900","26,900","26,634",10.77K,-0.82%
"Sep 24, 2015","26,965","26,510","27,078","26,462",28.45K,1.85%
"Sep 23, 2015","26,476","26,240","26,509","26,210",16.31K,0.89%
"Sep 22, 2015","26,242","26,320","26,470","26,180",22.31K,-0.39%
"Sep 21, 2015","26,345","26,488","26,550","26,281",17.90K,-0.49%
"Sep 18, 2015","26,476","26,300","26,591","26,300",23.10K,1.15%
"Sep 17, 2015","26,176","26,212","26,273","26,113",7.41K,-0.41%
"Sep 16, 2015","26,285","25,994","26,367","25,967",20.08K,1.17%
"Sep 15, 2015","25,982","26,089","26,095","25,956",12.79K,-0.37%
"Sep 14, 2015","26,078","26,045","26,128","25,970",12.16K,0.37%
"Sep 11, 2015","25,981","26,190","26,209","25,918",15.49K,-0.76%
"Sep 10, 2015","26,179","26,150","26,299","26,062",16.92K,0.42%
"Sep 09, 2015","26,069","26,450","26,486","26,010",16.52K,-1.39%
"Sep 08, 2015","26,436","26,500","26,567","26,391",14.03K,-0.26%
"Sep 07, 2015","26,506","26,595","26,620","26,465",9.33K,0.95%
"Sep 04, 2015","26,256","26,325","26,490","26,001",0.25K,0.23%
"Sep 03, 2015","26,196","26,432","26,474","26,130",0.25K,-0.84%
"Sep 02, 2015","26,417","26,594","26,639","26,200",0.63K,-0.77%
"Sep 01, 2015","26,623","26,636","26,847","26,530",2.33K,0.31%
"Aug 31, 2015","26,540","26,490","26,600","26,363",6.82K,0.19%
"Aug 28, 2015","26,490","26,220","26,600","26,220",11.90K,1.12%
"Aug 27, 2015","26,197","26,271","26,360","26,102",13.82K,-0.55%
"Aug 26, 2015","26,341","26,602","26,694","26,075",20.09K,-0.96%
"Aug 25, 2015","26,595","27,250","27,250","26,533",23.41K,-2.55%
"Aug 24, 2015","27,290","27,100","27,689","27,070",27.66K,0.74%
"Aug 21, 2015","27,090","26,780","27,177","26,676",27.33K,1.37%
"Aug 20, 2015","26,723","26,145","26,746","26,145",21.39K,2.45%
"Aug 19, 2015","26,084","25,870","26,115","25,801",15.89K,0.75%
"Aug 18, 2015","25,890","25,920","25,971","25,732",15.15K,-0.13%
"Aug 17, 2015","25,924","25,710","25,999","25,710",13.38K,1.12%
"Aug 14, 2015","25,636","25,706","25,832","25,605",13.49K,-0.49%
